event_id,true_family,candidate_family,correct,support,nearest_distance,mean_distance,max_distance
168285,rolamento_outer,rolamento_outer,True,1.0,0.0,2.0714313983568986,2.960944517859756
75213,rolamento_combination,rolamento_combination,True,1.0,2.408695545231112,2.5430261521985984,2.712579869818753
147729,desalinhado,eccentric_rotor,False,0.4,0.8823737627781141,0.9081234944923638,0.932039314998945
65564,rolamento_ball,rolamento_ball,True,0.8,0.6191480578207434,0.741797473796298,0.8346085182164152
51073,rolamento_outer,rolamento_outer,True,1.0,0.0074441687344916005,0.7116145814727983,0.900408517856209
175465,rolamento_combination,rolamento_combination,True,1.0,3.01386898829884,3.2245098773929426,3.5134814600982547
102049,ventoinha,correia,False,0.4,0.8165894871478386,0.8255388498155909,0.8330387663428199
56093,rolamento_inner,rolamento_inner,True,1.0,0.6619178970264659,0.7696733887135248,0.8209771474531932
135661,rolamento_ball,rolamento_ball,True,0.2,0.02729528535980137,0.45288626459296405,0.6122530687117101
39416,cocked_rotor,cocked_rotor,True,0.6,0.7673431543430523,0.8287141098726828,0.8752859002636431
163099,rolamento_ball,rolamento_ball,True,1.0,1.2761829740936925,1.4067242999679683,1.4569006722742082
64019,rolamento_ball,rolamento_outer,False,0.6,0.8813555473430027,0.9035912519139033,0.9588509746500755
111236,correia,correia,True,1.0,0.0674846625766868,0.5546104021101516,0.7029353276836353
87586,polia,normal,False,0.4,0.017369727047146566,0.7992292451762326,1.0288067919765311
72093,rolamento_combination,polia,False,0.4,0.012406947890819059,0.7107438380931795,0.925948059779219
93999,ventoinha,ventoinha,True,1.0,0.4601226993865033,0.5480897365863552,0.609253277121053
59561,rolamento_inner,rolamento_inner,True,0.4,0.1364764267990077,0.5987364274779361,0.8094909455225674
55852,rolamento_inner,rolamento_inner,True,0.6,1.2317703521186474,1.3132926047116509,1.4689247500710607
55087,rolamento_inner,rolamento_inner,True,1.0,0.024813895781637174,0.6193265730855654,0.8136429177401452
111007,correia,correia,True,0.8,0.5163658899425635,0.8674959071775763,1.0185158223559463
120762,desbalanceado,desbalanceado,True,0.6,0.08188585607940502,0.7845241612058581,0.9897754826999869
24613,eccentric_rotor,eccentric_rotor,True,1.0,0.6274424411593004,0.6667818149001711,0.7028094535239073
83403,rolamento_ball,rolamento_ball,True,1.0,0.06748466257668681,0.8102088307883806,1.0700217963707332
46453,rolamento_outer,rolamento_outer,True,0.4,0.10669975186104219,1.052031403419213,1.3184689835806835
165066,desbalanceado,desbalanceado,True,0.8,0.019851116625309806,1.612265019915074,2.24008363159661
29006,eccentric_rotor,eccentric_rotor,True,0.6,0.0,0.5001251355561129,0.7500104296005318
50304,rolamento_outer,rolamento_outer,True,0.8,0.0,0.5864587091249296,0.7678165842355824
64983,rolamento_ball,rolamento_ball,True,1.0,0.03067484662576736,0.663190276252234,0.8497634723145522
121174,desbalanceado,cocked_rotor,False,0.4,0.0,0.575191557685001,0.7457854372754439
155790,normal,desbalanceado,False,0.4,0.34439834024896193,0.5963532453960614,0.7148388160801107
81496,rolamento_ball,rolamento_inner,False,0.6,0.0,0.6303047818565491,0.8140489285347884
42922,rolamento_outer,cocked_rotor,False,0.6,0.8023126964490506,0.9523900498466308,1.1314614880494513
156791,normal,normal,True,0.6,0.012269938650306494,0.5021147415836358,0.7080472426016023
29756,eccentric_rotor,eccentric_rotor,True,1.0,0.547418429957725,0.6301671730519274,0.6938746862377653
54173,rolamento_inner,rolamento_inner,True,1.0,0.01244813278008361,0.6835149281795327,0.965227211600753
61613,rolamento_ball,rolamento_ball,True,1.0,0.6183102630480113,0.6422271164016096,0.6766791772568361
105198,correia,correia,True,1.0,0.6321921113369614,0.7254485282707039,0.7933013131101
35396,cocked_rotor,cocked_rotor,True,0.6,0.5315055129530799,0.7891807006160223,0.9162948881528816
113208,cocked_rotor,cocked_rotor,True,0.8,0.0,0.40157865762953476,0.5475171311024783
121121,desbalanceado,ventoinha,False,0.8,0.8796067122702763,0.9613994726478315,0.9959227478708138
25669,eccentric_rotor,eccentric_rotor,True,0.8,0.06134969325153239,1.1820898445576904,1.5377086970350362
52790,rolamento_inner,rolamento_inner,True,1.0,0.12883435582822134,0.6094660874830875,0.9037954203923106
